task_type,input_text,aux_text,label
TONE_POLARITY,"I was just about to give these to my dogs and realized that they are made in China. Unfortunately I realized too late and cannot return them. In the trash they go. They could be a good product, but I'm not going to take a chance. I've heard too many scary stories about treats and food from China. My pets are not worth taking that risk with.",,0
TONE_POLARITY,"My little guy was highly dissapointed, the game did not even work. He had even spent his allowance on it :(",,0
TONE_POLARITY,"This was a very disappointing book.Examples are simplistic and not well thought out. There are very basic shells for doing some parsing tasks a lot of different ways, but very shallow or missing rationale for the different alternatives. It felt like the author came up with a bunch of solutions without understanding the problems XML can address. Having E-Commerce in the title is a joke that hangs on one of the recurring examples throughout the book.Numerous gramatical and content errors. The structure of the book is light as well - examples before concepts and lots of white space & big type.",,0
TONE_POLARITY,"If you truly wish to learn what the media elite is and what is factual news, watch FOX News Channel for Bias News and CNN for semi unbiased news, and C-SPAN for fair news.",,0
TONE_POLARITY,"This chair claims to be for ages 3 to 8, but my 5-year-old barely fits on it. I bought it to go with his kid sized desk, but this chair is so little that he has to reach up for the keyboard. The chair is probably fine for 3 to 4-year-olds, but that is about it. It does go together easily and is lightweight, so it does make a nice chair for the right sized child. The price is right, but unfortunately, that means I'm stuck with a pint sized chair because it is not worth the expense of return shipping. Very disappointed. I would not have ordered it had the description been accurate!",,0
TONE_POLARITY,Quick shipping! I was pleasantly surprised when I saw this ring in person. It catches the sunlight and sparkles like crazy! You won't be disappointed if you order this.,,1
TONE_POLARITY,"I got today the HSF and replaced the original HSF with the SILET BOOST RX. Don't be fooled. It is not silet by any means. I would say it is even louder than the original stock fan. I own AMD 2000 Athlon XP, and it did not silence my box. Also The temperatures are still in mid 40's on idle.I would say it is a waste of money. Get Zelman or something else. Not this one.",,0
TONE_POLARITY,Perfect for a fan of the show who loves it being uncensored and not having to worry about missing an episode because you have the entire season at your finger tips!,,1
TONE_POLARITY,"To be honest, I was stunned by this album. The singing is just unspeakably bad! Had I known beforehand that the performance on this album is so poor, I wouldn't have bought this album even if it had cost a quarter of its price.It's indecent for any artist or recording company to sell an album at full price when the quality of it is so low.",,0
TONE_POLARITY,"I got this frame as a Mother's Day present for my mom. I loaded up an SD card and installed it for her. It's very easy to set up and use. But I was very disappointed to discover that even though it is a wide-screen viewer (modes for aspect ratio of 4:3 and 16:9), the 16:9 mode is COMPLETELY USELESS!! It STRETCHES regular images to make them fit the screen. What kind of idiot thought of that??? I have a bunch of panoramic pics from our family reunion I wanted to be able to display in the full wide-screen mode, but since they're only displayable in 4:3 mode, they shrink down to fit within the smaller dimensions which makes it hard to see the detail.If not for that one major problem, this would have been a great gift for Mom.",,0
TONE_POLARITY,"I'm a fan of the Dark series Ms. Feehan has written. Unfortunately, I'm just going to be blunt and say that this book bored me. It's almost as if she was bored herself writing this book. I got it sometime last year, got through half of it and haven't finished it yet, and I've never done that with a book in my entire life. This is something I would not suggest for anyone to buy.",,0
TONE_POLARITY,"This is the first book by Billy Collins that I have read, and so I must admit that my opinion may be relatively uninformed, although I think it is safe enough to assume that this is a fair representation of his work thus far. It seems to me that Collins' preoccupation with accessibility has overpowered his poetry, if indeed the contents of this book can be said to be poems at all, rather than cut-up prose. Dullness is the recurring characteristic of the collection, and the famous Collins charm wears thin very quickly. The value of poetry lies in how something is said, rather than what is said, and Sailing Alone Around the Room does not provide that value.",,0
TONE_POLARITY,"It was a great read. Sexy, fun and a little out there. If you like mythology it's a must read.",,1
TONE_POLARITY,"This already short book should be about 50 pages shorter yet. It is laced with repeated quotes, phrases, and facts. The first time you read that Churchill carried a lance in one of history's last cavalry charges, it's fascinating. The second time, it's a surprise to see the statement repeated almost verbatim. The third time, it's an insult.Again and again (and again), this pattern is repeated. On one page, the same clause from a Churchill quote appears three times. Enough already. It's bad enough that the writer made this mistake, but it's unforgivable for the editor to let it pass for publication in this shape. By paring 50 pages off the manuscript, it would be just what it claims to be -- not a bad short rehash of the existing Churchill biographies.Save your money. Get another Churchill biography.",,0
TONE_POLARITY,"I'm using this with a 400gb Western Digital harddrive on Windows XP system. First, I had hard time formatting and partitioning the drive with this case using native Windows XP tools. I finally used some commercial software. I transferred a lot of files into the harddrive via this case but there are too many file corruptions. I almost lost my important data, fortunately I had backup in DVD. Between the famous and reliable harddrive and this made-in-china case, naturally I think it's this drive that responsible for the file corruptions.",,0
TONE_POLARITY,"This book showed some promise in the beggining. It didn't come true.Arien Mirida thinks he's cursed. His bride was killed by beasts gathered by an ancient curse he didn't know about at the time (and later his aunt managed to tell him about). So Arien decided he'll live unhappily ever after - until he discovers hope exists.Enter Cat Sabledrake. She falls inlove with Arien and helps him destroy the curse. Then she helps him resurrect his bride, and they part, unhappy again.So what's the catch?!I liked this book until I realized it was setting the course for a whole series, with Cat Sabledrake as main character. Well, I for one, won't read the rest of them. The one I liked, Arien, won't be re-appearing, so why follow all Cat's bad choices of lovers?! If it's true love, let it be free... at least in a fantasy novel, love should be true.Not in this one, though. Not to the end.",,0
TONE_POLARITY,"The really standout feature of this book for me is how easy and fun it is to read. I consider myself fairly capable and passably fluent in conversational Spanish, but not only did I learn completely new and unexpected phrases and colloquial vocabulary in Spanish that had previously been beyond me, but Pepa and Pili (the main characters in the dialogues) had me chuckling and at times guffawing throughout. The author has a great sense of humor and a flair for refreshingly real-sounding conversation - not the stilted repartee you usually see in language books.After reading this book you will no longer need to sneak peaks at the subtitles during Almodovar movies. This book is great fun to read and the exercises are quite challenging - a real help in moving your Spanish past the text book into the real world.",,1
TONE_POLARITY,Lens came packed nicely and promptly. But it was made in Taiwan and not Japan.Yet to use the lens. Will update when I do use it. This my first SLR lens.,,1
TONE_POLARITY,"This book is very scary and very creepy..especially to me, someone who has paid lip service to Christ all his life but never really started to pay attention until a few months ago... for me it is a direct indication of where I could've fallen all too easily had I not made some good decisions... Highly recommended!!!",,1
TONE_POLARITY,"The Secret, is a great documentary. If one is open to change and betterment of one's self, then this doc is for you.",,1
TONE_POLARITY,I chose to read this book before seeing the movie. I'm glad I did. It was a great story of survival. I would recommend this book to just about anyone.,,1
TONE_POLARITY,Dont buy this book! I purchased this book liking some of the recipes but I soon realized what a mistake it was. Not only dose the book barely go into detail about what you'll need for each recipe but most of the recipes in the book you can make yourself. You dont need a recipe to tell you how to make nachos.,,0
TONE_POLARITY,"I stopped reading this book way before the end because I could no longer stand the pretentious and self obsessed author. The book is less plotand more of the author's ode to self. I wasted my money on this book. It is so boring. Unless you care about how smart the author thinks she is, what books she has read, how attractive she thinks she is, ect. then don't buy this book. I am disgusted by her arrogance. I am shocked anyone could possibly find her attractive or interesting at all, much less as much as she herself does. I would not recommend this book to anyone.",,0
TONE_POLARITY,It would be nice if I would have actually received a Starrett 734 mic as the description states. Instead I received a Starrett 3734 which is a cheaper copy of what I was supposed to get. I am very unhappy with the product I received.,,0
TONE_POLARITY,"Works like it says. We were able to keep the top up for about 4 hours until we had to take it down. Living in a small apartment has it's drawbacks. Great for an office and still mind boggling when ""observing"" the unseen forces at a later date. Don't get frustrated and be persistent until you get the perfect balance. It's well worth it!!",,1
TONE_POLARITY,"This is an excellent sculpt of Thor in one of his armored periods, the joints are good, with none of them being loose out of the package. The figure makes an excellent addition to my Marel collection.",,1
TONE_POLARITY,"The first week after i got it it worked wonders. Then the person you were talking to couldn't here you. I called the tech support line and they triend to figure out what was wrong, they couldn't. So i sent it back to Plantronics(because the telephone comes w/ a 2 year waranty) and they sent me a new one no questins asked. I was really surprized w/ their cooperation. The second one has working for about a month now.",,1
TONE_POLARITY,"I love this National Geographic special! I have cable so I got to see it for free and I watched it over and over. Before watching this I wasn't sure when I was ever going to be ready to be a mommy. Now, I look forward to sharing this miracle with my husband :)Anyways, I digress, the film is great. It's amazing how they have these images that look like it's from within the womb. In fact, sometimes it really is, at least the special on multiple births is.",,1
TONE_POLARITY,"Carl Sagan has done a good job of popularizing a sciences such as astronomy and physics and making them accessible to non-scientists like myself. The plot in the book is sort of cool but it just seem overly simplistic.Also, the characters were AWFUL. Just devices to carry the plot. I found myself not caring about a single one of them. Some of them were downright ridiculous. I'm glad that generally, Sagan stuck to non-ficton.There's better stuff out there.",,0
TONE_POLARITY,"If there is one book that you need to read, this is it. It doesn't matter if you are a true spiritual seeker, just starting on your spiritual path or just curious, Petals of Grace is for you. Sai Maa's shakti(energy) is in every word, and you can't help but breathe it in. You can experience and know the joy, peace and truth of who you really are from reading this book.",,1
TONE_POLARITY,"I am always looking for new authors and was drawn to this book because of its status as an Edgar Winner. As I was yawning into page 250, I was wondering exactly when this book was ever going to be interesting, or, in fact, if there was a plot. This book was a waste of time and money. What in the world were the Edgar Award people thinking.",,0
TONE_POLARITY,"I first saw this movie a long time ago and it was not soon forgoten. I couldn't find it anywhere, or remember the title until i saw it on TNT (an old movie network) where i taped it and watch it often. It is one of my favorite movies of all times...it totally deserves 5 stars!",,1
TONE_POLARITY,"This game is absolutly the best game I have ever seen! there is a little bit of violence, but most of the time you kill droids, not humans. My favorite weopon is the lightsaber, because you can deflect laser blasts.",,1
TONE_POLARITY,"Its not that I do not like the kit. I am furious at Amazon for recommending I buy this when it comes with the Jetboil Sol Ti. Turns out it comes with any Jetboil Flash or above. I absolutely love my Jetboil, best small camp stove I have ever had, and in fact I use it at home to boil water for tea since it is so fast. My advice is to order you Jetboil and wait on any accessory purchases to make sure that you need them.",,0
TONE_POLARITY,"I recently purchased the DVD ""Betty Broderick: A Woman Scorned"", as I have enjoyed this well acted movie on the Lifetime Channel.To my surprise, this DVD has two movies on it. The first movie of the Betty Broderick story ""A Woman Scorned"" and the Sequel called ""Her Final Fury"". A total of 3 hours on this DVD! I also noticed that there is a special section on the DVD where you can see the real Betty Broderick and watch some of her actual testimony at the murder trial. Very interesting. I recommend this DVD highly. This is for anyone who enjoys movies bases on real life incidents, crimes and murders.",,1
TONE_POLARITY,"Bought this as a resource for our Bible Studies look at James. Already had Moyter's commentary, this one has a less devotional, more technical feel. Accessible, deep, a def resource for our study.",,1
TONE_POLARITY,"the material was awful, felt like plastic and my son hated them, couldn't return these jeans fast enough and replace them with a better pair",,0
TONE_POLARITY,"Regardless of replacing the 9V Battery almost once a week, this machinekeeps loosing the Greeting Message all the time.Voice Quality is also not very good.",,0
TONE_POLARITY,This is junk! I can't believe I wasted my money. The adhesive gums up and doesn't even stick to your pics or scrapbook material.,,0
TONE_POLARITY,I found Hirsh's writing style choppy and at times the transitions between chapters and topics were confusing. Overall None Braver was a poor presentation of material that could have been informative and entertaining--which it was only slightly of both. I recommend you read something else on PJs. They deserve better.,,0
TONE_POLARITY,"Peggy Cappy is a wonderful yoga instructor, especially for people over 50. Her videos show gentle yoga that anyone can do without fear of hurting themselves if they follow her instructions. I am so pleased to have ""found"" her.",,1
TONE_POLARITY,"I bought this on paperback a little while back, and thought it was a good read. Since I plan to get my sister a Kindle for her birthday, I thought I'd gift this with it. Then I noticed something: THE KINDLE VERSION IS ALMOST TWICE AS EXPENSIVE AS THE PAPERBACK VERSION!!!The cost of a printed book includes the price of making the paper, printing, binding, packaging for retail distribution, and in Amazon's case, packaging and shipping to the customer. The cost of an eBook includes NONE OF THIS, and the cost of hosting and bandwidth for distribution of each eBook, especially when divided into the massive number sold by Amazon, is nothing compared to the printing costs mentioned above. Right now, I do NOT plan to purchase this along with my sister's Kindle. In fact, as this seems to be a growing trend on Amazon, I may decide not to get her a Kindle at all.",,0
TONE_POLARITY,A very good laptop webcam. It works really well and has never stalled or frozen on me. It also records and takes pictures. Its cost effective here and perfect for a laptop for a new user.,,1
TONE_POLARITY,"awesome book.... incredible story .....if u are into quilts this is an unbelievable book..... some one gave me a pattern and fabric adapted, from one of the quilts in this book.... i just loved this book......",,1
TONE_POLARITY,I guess I didn't read close enough or something because I expect the solid ringed droppings but these are on a roll and have to be stretched over the mouth of the bottle. I used them because I would throw them away and they couldn't be returned since the box arrived very damaged(purchased with many other things and amazon didn't pack well) but I would never ever buy these again they were a huge pain.,,0
TONE_POLARITY,"THIS CD IS TOO GOOD FOR WORDS. ITS AWESOME SKA/PUNK, AND I THINK LTJ IS THE BEST BAND EVER. IT HAS AWESOME SONGS LIKE JOHNNY QUEST THINKS WE'RE SELLOUTS, HAPPYMAN, AND AUTOMATIC. IF YOU ARE GOING TO BUY A SKA CD, MAKE IT LESS THAN JAKE. AND IF YOU'RE GOING TO BUY A LTJ CD, MAKE IT LOSING STREAK.",,1
TONE_POLARITY,"So, a kindle book you can't read on a kindle. I just don't understand..It makes no sense that you can only read this on the kindle app for the Mac or Pc. Somebody please explain.",,0
TONE_POLARITY,I purchased the Soleus and it quit drawing water from the air in the first 6 mos. The Soleus service rep chuckled as she advised me to just buy a new one since shipping and minimum service charges would be substantial [...] bucks plus when you throw in the parts - like how else can you fix it - without parts? I since bought a Frigidaire with a five year warranty on the sealed system and it works fine - albeit a bit noisy vs Soleus. I hauled the Soleus to the dump and promptly threw it in the junk appliance area where it belongs.,,0
TONE_POLARITY,I purchased an easel for my granddaughter for Christmas. I also purchased pads of easel paper and the deluxe companion easel set from Melissa & Doug. The purchases arrived in speedy time and were overpackaged so there was no need to worry about anything breaking. The paper and art supplies arrived just as advertised. I am so happy that I bought the companion set. My granddaughter was able to use her easel immediately rather than running to the store for crayons & paint & brushes. There's much less mess because each paint brush has a cup with matching color lid. My daughter-in-law says it was an excellent purchase!,,1
TONE_POLARITY,Please research the brand and know what to look for when you buy designer bags. This one pictured is a fake. Louis Vuitton did not make this bag and does not hang any tags from the bag like this. The speedy does not have any pockets on the side either.,,0
TONE_POLARITY,"received this item yesterday - trust me it is a quality items i was expecting a junky piece of plastic but it is just as you would remember from back in the day. i was very happy to get it but it did not work properly. people couldn't hear me so i am trying to exchange it today - i hope im not dissapointed in its replacement. i will let you all know when i get the new one. 4/20/11 Well im back - i received my replacement phone and unfortunately, it does not work. This one seems as im talking in a tunnel and the people i call say i sound like im far away. it is a shame, i love the phone. i will have to find another brand / provider to get what i need.",,0
TONE_POLARITY,"This book was such a disappointment. It was too short, the plot was incredibly transparent, and the romance was clumsy. And at the end, frankly, I think Tony Hillerman just lost a large portion of his female fans.",,0
TONE_POLARITY,"Endless waltz is an awsome movie. the special edition DVD includes the OVA episiodes of the movie, it also includes a mobel suit encyclopedia and is veiwable in mutiple languages. It has the same voices as in the show(english version anyways). If you saw this on the cartoon network or YTV(people in canada), then you might have thought that it was very heavly edited, the truth is that it wasn't. sure commercials but thats about it. BUT, if you only saw it once, than you probobly didn't catch it all at once. Its a great DVD packed with loads of stuff that will make this a great movie from begining to end.",,1
TONE_POLARITY,There is NO adjustable shoulder strap. The unit itself is ok but not great. It's compact and stylish which is nice. The pocket for the extra battery has no padding or anything to hold the battery in so if it gets tipped at all while it's open the battery falls out easily. There is an opening for a belt loop but I'm sorry - who wears a camera case on a belt loop? I bought it to have the shoulder strap which is nonexistent. It's nice to have an extra battery but you could do better than this carrying case.,,0
TONE_POLARITY,"lost us right from the beginning, a lot of noise and camera action but didn't hold a candle to previous ""bourne"" movies",,0
TONE_POLARITY,My mom loves Leave It To Beaver. She is so glad she can watch the dvds.,,1
TONE_POLARITY,"One of the first things you notice about this CD is that the violinist is not close miked. Instead, the excellent sound engineering places him in the orchestral context, while everything he does remains full toned and clear sounding. The performance of the first concerto might put you in mind of the Berg Concerto. It is full of yearning and late Romanticism, although these feelings are never overdone. The second concerto is served by a performance that brings out all the majesty of the work. I'm still very fond of Henryk Szeryng's recording and, on Hungaroton, Denes Kovacs's. Nevertheless, this CD documents an important Hungarian artist, Gyorgy Pauk, in essential works of his great countryman, and thus has important documentary value in addition to the musical pleasure it gives.",,1
TONE_POLARITY,"Jeff Buckley's ""Live A L'Olympia"" is a work of art! You can just feel the happy atmosphere in the concert, and it's like you're actually there. Jeff's Zeppelin parody is hilarious, and every song will have you either laughing or crying!I have total respect for Mary Guibert, and for even allowing us to have this capsule of time of Jeff is too nice of her. ""Live A L'Olympia"" is one of my all-time favourite CD's, and you will love it too!!",,1
TONE_POLARITY,"I meant to order the Styling CREAM, but ordered the LOTION in error. (""Lotion"" is more descriptive of the ""Cream"") This product is a watery styler (thus my misunderstanding). Thought I'd try it, as shipping changes the dynamics of an exchange. It does a nice job, is light-weight, but you have to use more product. The result is nice body and natural shine. (With the Cream, you use less, but there is a heavier, dry, dullness.) As both products are pricy for what they are, I will probably save this Lotion for special occasions, as I do the Cream.",,1
TONE_POLARITY,"The author uses ""pseudo-code"" through out the book. The cd contains only a pc-executable program. There is no source code on the CD.This book is a poor source of programming code where the author explains how ai works based on the pseudo-code.If you're looking for source code (ie C++ source code) you'll not find it here.",,0
TONE_POLARITY,"It does not fit all legs well and stacks of two make a wobbly support. However, for ""normal"" use the bed does not fall over. Even the kids have not caused the bed to tumble over. It seems the design could be better, but it works.",,1
TONE_POLARITY,Great sturdy case for my sony camera!! Love the color and also matches my pink camera but good for my silver camera as well.,,0
TONE_POLARITY,"You can't go wrong with Nelson DeMille. Charm School was an excellent read, and this audio book is a perfect addition to any fan's library. I would also highly suggest the John Corey series...Lion's Game, and the new Wildfire!",,1
TONE_POLARITY,"These markers are way too light. They show up on dry erase boards bright fluorescent yellow like hi-lighters instead of anything that you can use efficiently for any projects. If you need to create a presentation where the people viewing the information are more than 3 or 4 ft away or at an angle, they cannot see anything. I do not suggest you purchase these markers unless you plan to use them strictly for coloring.",,0
TONE_POLARITY,"I have tried several low priced compressors for use as inflating the tires on my Ford F350. Most of them either take forever or simply cannot handle the pressure. I have even burned several of them out. The MV50, however, is strong and fast and easily up to the task. There are only two drawbacks: The unconventional tire inflator fitting on the end of the hose can be difficult to use depending on wheel configuration. I would have preferred a more traditional fitting, especially with a reverse ""truck chuck"" on it. The only other problem is the cord is too short. This unit must be attached to your vehicle's battery and the cord will not permit inflation of the rear tires on my F350 crew cab with the 8 foot bed. that being said, its easy enough to just hook up jumper cables to bridge that gap, plus most vehicles are not as long as mine anyway. All in all, this is a great product at a good price.",,1
TONE_POLARITY,"Someone suggested that if I like SF I should read this book. They were mistaken. If you like SF, stay away from this book. Imagine if Tom Clancy wrote a romance novel, or if Stephen King wrote a children's book...get the picture?The plot was typical of SF movies of the 1950s and 70s: Super advanced plant people crash on Earth and a super secret group of world-dominating CEOs try to kill all the witnesses. The aliens want us to clean up our act, the conspiracy group wants to drill for oil in the protected Alaskan wilderness...hey, wait a minute...There is an important lesson given by Mr. Sheldon in this book: Sidney doesn't write good science fiction.",,0
TONE_POLARITY,"This album is filled with Classic Texas songs. From Rita Ballou, to LA Freeway, to Like a Coat From the Cold, you will not want to stop listening to this CD and will find yourself singing along every chance you get. Sung in a voice that is uniquely Guy Clark, his throaty version of each song makes it his own. A must for any fan of Texas Country or Guy Clark.",,1
TONE_POLARITY,"There is very little of value in this book that shouldn't be posted on Oracle's web site as a tutorial or whitepaper. It is expectedly Oracle centric, but only covers their products in a very broad manner without much meat. For example, Chapter 4: ""Developing for an Oracle Application"" is only 16 pages and simply provides definitions for the variety of Oracle-side web apps/extensions.If you really want to buy an Oracle XML book, then get the O'Reilly ""Oracle XML Applications"". Now there's a 5* book.",,0
TONE_POLARITY,"I'm from Brazil and the DVD does not run in our DVDs players, due region limitations.It would be interesting that, when Amazon detects a international sell, a warning should be displayed, telling the customers that they might have problems due to region definitions. A link to an article explaining region definitions/limitations/how to convert/alternatives would be very usefull too.At the moment I'm watching the episodes at my computer. This is not confortable.",,0
TONE_POLARITY,"I've been using the kettle for about 2 months. What I like is that it is attractive, has an automatic shut-off switch, heats the water quickly, is cordless and does not take up too much counter space in my small kitchen. What I don't like is that the measuring window is difficult to see because it is hidden behind the handle and it is very, in my opinion, loud while heating the water. The noise bothers me the most. The pros outway the cons therefore, go for it. :-)",,1
TONE_POLARITY,This movie is almost has bad as Manos: THe Hands of FateAhh! Run away before you lose precious minutes of your life!,,0
TONE_POLARITY,"I like my fish and I like keeping this healthy. The master water test kit is nice. In the stores they want $50.00 or more to purchase this item. I lost 14 of my tropical because I didn't realize how sensitive they are to water conditions. So I checked Amazon.com to see if I could find a decent water testing kit that didn't cost $50 to $80. Amazon had my kit and the best price around.This kit allows you to test for Ph balance, ammonia and Nitrites in your aquarium water. Step by step guide instructions manual with a color chart and its accurate. I saved allot of money on this item. The savings alone bought my tropical fish food and my Tetra-Minfish food. Still costing less than $30.00. Great Buy and delivered on time.",,1
TONE_POLARITY,"This movie was the best. It had a original screne plot to it. Not to much blood though, oh well some movies are better without it. Joshua Jackson, and Jared Leto are hot in this movie!",,1
TONE_POLARITY,instructions make no sense I.E. connect red wire to gear shift lever. I am not drilling holes in my rear bumper for something so questionable.,,0
TONE_POLARITY,"The mini-series/movie was really good. I thought that it was a typo when I saw how long it is. It is that long, though. Being that long, it tends to drag a bit, but overall, it was a wonderful story. The only thing that I didn't like about it was that the ending was left wide open and there is no sequel in site. This is supposedly based off of a book, but I had a heck of a time finding it online, let alone buying one.",,1
TONE_POLARITY,"This is one of my favorite albums of all time. Its soo smooth, and Flows seamlessly. WIth Nicolays best work behind the boards and Phonte piloting. Beautiful music. Nuff said.",,1
TONE_POLARITY,My husband and I enjoy watching Matlock together---which is a good thing since he doesn't like anything but information type programming usually!,,1
TONE_POLARITY,"this is a replacement pump and it works great, and the price was a lot better than any of the stores in my area.",,1
TONE_POLARITY,Push buttons on the rim are exposed and active even when the cover is closed. They cannot be disabled. These buttons control ring profiles so that the phone will change to silent without warning.,,0
TONE_POLARITY,We started watching the broadcast episodes of 24 in season 5. We bought this title bundled with season 2 so that we could catch up. We became addicted. It's a real pleasure to watch this well-made action series without the commercials.,,1
TONE_POLARITY,I took French in High School but I can't read this. And I didn't know it was in Frnch. The title seemed like the logical next step in his life. no where did it say it was in french and not English. Big dissapointment.,,0
TONE_POLARITY,"Trashy clothes and trashy music. Yes, they do go together. And I find her voice simply annoying!!! Christina, Christina, Christina--You are NOT Whitney Houston, nor will you ever sing like her. You have the worst singing voice---EVER!!!!Please dye your hair back to its original blonde color! I can't stand it being black! Put on more decent clothes than a stupid nightgown you bought at Victoria's Secret!!!!And for God's Sake, please take out that damn nose ring!!!! You are NOT Janet Jackson!!!!Don't waste your money on this crap!!!! AWFUL, AWFUL, AWFUL!!!!! SOMEBODY MAKE HER STOP!!!!!Bottom Line: Christina may be beautiful and a great singer no matter what they say, but my words CAN bring her down!!!!",,0
TONE_POLARITY,Problem with this mouse is that very often it doesn't work properly. The mouse doesn't work if it is more than a couple of inches away from the computer and sometimes it doesn't work at all. Very disappointed.I'm returning it and buying something better than this poorly made mouse.,,0
TONE_POLARITY,"For me this story is two side because I work with the Navajo and I am an adopted child myself. I did not learn until I was grown that when my birth mother ""placed"" me for adoption, she had been told to either give me up or they would forcefully take me...and I'm white! I contect very deep with Becks and feel in many ways her store is much my own story. I say it is a must watch...especially if you are adopted.",,1
TONE_POLARITY,"This was a major disappointment. I loved the first and second of the Anne series, but this one does not have the same feel or charm that made Anne 1 and 2 so loved. Its like its not Kevin Sullivan making this. Its far to artsy and revolves around the war rather than the characters and green gables. They hardly even show green gables and it even gets burned down. (How could they do that!). I wish I'd never watched this, as its ruined the way I imagined Anne and the others to have lived, happily ever after is what I expected.",,0
TONE_POLARITY,"Excellent selection of poetry and poetry-related essays by Samuel Taylor Coleridge. NOTE: previous reviewer seems to have confused Coleridge with Eliot. Coleridge DID NOT WRITE The Waste Land, The Hollow Men, or Ash Wednesday -- THAT is why those are not in this book. He DIED in 1834!!",,1
TONE_POLARITY,"White-Washed Finish Splat Back Chair By Acme FurnitureYou would not believe your eyes if you see the picture for this product, and especially the listing that accompanies it. The picture shows one nice looking, wood made, dining chair at a more than reasonable price ($24 or $25 per item, it seems), and everything is wonderful, so far. But when you try to add it to your shopping cart the circus starts: just dare to see the weight of the item, and you'll need ice packs: 100lbs for one chair!!!If you are curious and go further checking their shipping rates, the ice is not going to help you anymore because you'll pass out: about $100 for the same!Clearly, I would not recommend this product to anybody.",,0
TONE_POLARITY,"This book is exactly what I want from a 'chick-lit' book. Fun, humorous, with a touch of seriousness at times. A great beach read!",,1
TONE_POLARITY,Disturbing yet provacative. Reading this opinion has moved me two feet further to the right.,,1
TONE_POLARITY,"A great blu-ray, with stellar audio and video. Quick cuts are kept in check, making it very enjoyable. For hardcore fans, setlist is good for the first half as we get new songs.",,1
